1,Arizona,Diamondbacks,109
2,Atlanta,Braves,130
3,Baltimore,Orioles,110
4,Boston,Red Sox,111
5,Chicago_,Cubs,112
6,Chicago,White Sox,145
7,Cincinnati,Reds,113
8,Cleveland,Indians,114
9,Colorado,Rockies,115
10,Detroit,Tigers,116
11,Houston,Astros,117
12,Kansas City,Royals,118
13,Los Angeles,Angels,108
14,Los Angeles_,Dodgers,119
15,Miami,Marlins,146
16,Milwaukee,Brewers,158
17,Minnesota,Twins,142
18,New York,Mets,121
19,New York_,Yankees,147
20,Oakland,Athletics,133
21,Philadelphia,Phillies,143
22,Pittsburgh,Pirates,134
23,San Diego,Padres,135
24,San Francisco,Giants,137
25,Seattle,Mariners,136
26,St. Louis,Cardinals,138
27,Tampa Bay,Rays,139
28,Texas,Rangers,140
29,Toronto,Blue Jays,141
30,Washington,Nationals,120
